time_s,phase,joint_position_rad_1,joint_position_rad_2,joint_position_rad_3,joint_position_rad_4,joint_position_rad_5,joint_position_rad_6,joint_velocity_rad_s_1,joint_velocity_rad_s_2,joint_velocity_rad_s_3,joint_velocity_rad_s_4,joint_velocity_rad_s_5,joint_velocity_rad_s_6,joint_acceleration_rad_s2_1,joint_acceleration_rad_s2_2,joint_acceleration_rad_s2_3,joint_acceleration_rad_s2_4,joint_acceleration_rad_s2_5,joint_acceleration_rad_s2_6
0.4,throw,-3.111093827160491e-05,0.05479072866666658,-0.6530896983333334,-6.949560987654316e-05,-0.9020190403333335,0.9626744479135804,0.00010976790123456799,-0.33333333333333354,-0.33333333333333354,0.0002481654320987655,-0.33333333333333354,-0.00012835802469143745,0.00032929382716049335,-0.9999999999999978,-0.9999999999999978,0.0007445002469135787,-0.9999999999999978,-0.00038508395061688614
0.42,throw,-2.885087408999998e-05,0.04792756199999994,-0.659952865,-6.438600690399996e-05,-0.9088822070000001,0.9626718050840101,0.00011617814250000001,-0.3528,-0.3528,0.000262658375,-0.3528,-0.00013585433750007086,0.00031118149999999963,-0.9449999999999985,-0.9449999999999985,0.0007035531999999985,-0.9449999999999985,-0.0003639054999995491
0.44,throw,-2.6466447067654297e-05,0.0406867286666666,-0.6671936983333333,-5.899523082034564e-05,-0.9161230403333334,0.9626690168206065,0.0001221932093827161,-0.3710666666666667,-0.3710666666666667,0.00027625792632098766,-0.3710666666666667,-0.00014288857135808615,0.00028977639506172785,-0.8799999999999981,-0.8799999999999981,0.0006551610864197514,-0.8799999999999981,-0.00033887604938222617
0.46,throw,-2.3966219245308615e-05,0.03309422866666659,-0.6747861983333333,-5.334263847150614e-05,-0.9237155403333334,0.9626660931351511,0.0001277472466975309,-0.38793333333333335,-0.38793333333333335,0.0002888151845802469,-0.38793333333333335,-0.00014938370589511314,0.0002650785493827155,-0.8049999999999979,-0.8049999999999979,0.0005993238913580231,-0.8049999999999979,-0.00030999556172788293
0.48,throw,-2.1360069759999977e-05,0.025180061999999948,-0.682700365,-4.7450564735999976e-05,-0.931629707,0.9626630455798401,0.00013277440000000003,-0.40320000000000006,-0.40320000000000006,0.00030018124799999994,-0.40320000000000006,-0.00015526272000004112,0.00023708799999999923,-0.7199999999999971,-0.7199999999999971,0.0005360415999999982,-0.7199999999999971,-0.0002772639999994847
0.5,throw,-1.8659194830246888e-05,0.016978228666666595,-0.6909021983333333,-4.134432253086416e-05,-0.9398315403333334,0.9626598872472993,0.00013720881558641973,-0.41666666666666663,-0.41666666666666663,0.0003102072145061727,-0.41666666666666663,-0.00016044859182101862,0.00020580478395061663,-0.6249999999999982,-0.6249999999999982,0.0004653141975308624,-0.6249999999999982,-0.00024068132715999698
0.52,throw,-1.5876107741234545e-05,0.00852672866666658,-0.6993536983333334,-3.505220281758022e-05,-0.9482830403333334,0.9626566327705995,0.00014098464049382722,-0.42813333333333337,-0.42813333333333337,0.000318744181728395,-0.42813333333333337,-0.00016486429876545354,0.00017122893827160434,-0.5199999999999978,-0.5199999999999978,0.0003871416691358007,-0.5199999999999978,-0.00020024750617238436
0.54,throw,-1.302463882999998e-05,-0.000132438000000068,-0.708012865,-2.8605474607999956e-05,-0.9569422070000001,0.96265329832327,0.0001440360225,-0.4373999999999997,-0.4373999999999997,0.0003256432469999997,-0.4373999999999997,-0.00016843281750001293,0.00013336049999999964,-0.4049999999999989,-0.4049999999999989,0.00030152399999999876,-0.4049999999999989,-0.0001559624999996137
0.56,throw,-1.0119935470617245e-05,-0.008953271333333429,-0.7168336983333334,-2.2038384970271557e-05,-0.9657630403333335,0.9626499016193146,0.00014629711012345673,-0.44426666666666637,-0.44426666666666637,0.0003307555073580245,-0.44426666666666637,-0.0001710771239506233,9.219950617283938e-05,-0.2799999999999989,-0.2799999999999989,0.00020846117530864093,-0.2799999999999989,-0.00010782627160464903
0.58,throw,-7.1784620593827035e-06,-0.017885771333333383,-0.7257661983333333,-1.538815903476544e-05,-0.9746955403333334,0.9626464619132259,0.0001477020526234568,-0.4485333333333331,-0.4485333333333331,0.00033393205954320966,-0.4485333333333331,-0.00017272019330247072,4.774599382716062e-05,-0.14499999999999957,-0.14499999999999957,0.00010795318024691336,-0.14499999999999957,-5.5838783950456095e-05
